(0,0)q0 (0,1)q1 (0,2)q2 (0,3)q3 
(0,0)q0 (0,1)q1 (0,2)q2 (1,0)q3 
(0,0)q0 (0,1)q1 (0,2)q2 (1,1)q3 
(0,0)q0 (0,1)q1 (0,2)q2 (1,2)q3 
(0,0)q0 (0,1)q1 (0,2)q2 (1,3)q3 
(0,0)q0 (0,1)q1 (0,2)q2 (2,0)q3 
(0,0)q0 (0,1)q1 (0,2)q2 (2,1)q3 
(0,0)q0 (0,1)q1 (0,2)q2 (2,2)q3 
(0,0)q0 (0,1)q1 (0,2)q2 (2,3)q3 
(0,0)q0 (0,1)q1 (0,2)q2 (3,0)q3 
(0,0)q0 (0,1)q1 (0,2)q2 (3,1)q3 
(0,0)q0 (0,1)q1 (0,2)q2 (3,2)q3 
(0,0)q0 (0,1)q1 (0,2)q2 (3,3)q3 
(0,0)q0 (0,1)q1 (0,3)q2 (1,0)q3 
(0,0)q0 (0,1)q1 (0,3)q2 (1,1)q3 
(0,0)q0 (0,1)q1 (0,3)q2 (1,2)q3 
(0,0)q0 (0,1)q1 (0,3)q2 (1,3)q3 
(0,0)q0 (0,1)q1 (0,3)q2 (2,0)q3 
(0,0)q0 (0,1)q1 (0,3)q2 (2,1)q3 
(0,0)q0 (0,1)q1 (0,3)q2 (2,2)q3 
(0,0)q0 (0,1)q1 (0,3)q2 (2,3)q3 
(0,0)q0 (0,1)q1 (0,3)q2 (3,0)q3 
(0,0)q0 (0,1)q1 (0,3)q2 (3,1)q3 
(0,0)q0 (0,1)q1 (0,3)q2 (3,2)q3 
(0,0)q0 (0,1)q1 (0,3)q2 (3,3)q3 
(0,0)q0 (0,1)q1 (1,0)q2 (1,1)q3 
(0,0)q0 (0,1)q1 (1,0)q2 (1,2)q3 
(0,0)q0 (0,1)q1 (1,0)q2 (1,3)q3 
(0,0)q0 (0,1)q1 (1,0)q2 (2,0)q3 
(0,0)q0 (0,1)q1 (1,0)q2 (2,1)q3 
(0,0)q0 (0,1)q1 (1,0)q2 (2,2)q3 
(0,0)q0 (0,1)q1 (1,0)q2 (2,3)q3 
(0,0)q0 (0,1)q1 (1,0)q2 (3,0)q3 
(0,0)q0 (0,1)q1 (1,0)q2 (3,1)q3 
(0,0)q0 (0,1)q1 (1,0)q2 (3,2)q3 
(0,0)q0 (0,1)q1 (1,0)q2 (3,3)q3 
